,0
TCP_seq,192089219191.87863
TCP_ack,179454340400.4301
BOOTP_xid,12015059034.925062
UDP_chksum,5156589.998106792
IP_id,2974454.576995945
TCP_chksum,2959093.3179461905
TCP_sport,2299851.523797471
TCP_dport,1690282.6363027047
TCP_window,864190.9172204302
dport_bare,794214.5211592827
sport_bare,770836.6461639341
UDP_dport,735176.7422555157
UDP_sport,567511.2919062597
Ether_type,44319.24981899401
DNS_id,35236.16102239092
UDP_len,24023.53018385918
ICMP_chksum,22315.24186238017
ICMP_id,13633.68094361927
IP_tos,2612.861472746729
EAPOL_len,1072.156986229472
IP_ttl,696.9643882767068
TCP_dataofs,666.7995829008363
IP_proto,448.5699507729102
LLC_ctrl,343.00029362522156
IP_len,220.72892561707536
TCP_flags,206.1011020824597
entropy,158.65355635388698
pck_size,143.73821356999176
TCP_options,92.86847362292202
DNS_ancount,86.71342237015503
TCP_ACK,83.43357288180971
BOOTP_hlen,60.796119385840356
sport_class,34.70755399168737
EAPOL_type,30.56588030855683
TCP_PSH,27.486717514849328
DHCP_options,19.00062778387135
dport_class,14.481904691646985
IP_options,13.927014621248635
TCP_SYN,12.921612160840084
DNS_qr,11.198126035881058
DNS_aa,10.97416344041225
BOOTP_sname,10.134840208625784
BOOTP_htype,10.134343715580856
BOOTP_options,10.134134422800427
BOOTP_file,10.133014102749941
EAPOL_version,9.451821638272335
TCP_FIN,8.961724498453146
BOOTP_op,8.912773497968296
ICMP_type,5.120450020636573
DNS_rd,4.923712785545662
DNS_nscount,2.651309893128536
TCP_RST,2.480096712234625
LLC_ssap,1.9611206158552683
payload_bytes,1.1423161723927213
IP_version,0.6568918708755953
ICMP_seq,0.641143702157215
IP_ihl,0.39663731778153777
DNS_qdcount,0.2954334302583203
Protocol,0.2295828225599855
BOOTP_flags,0.16551562705762252
IP_flags,0.16151839817311497
DNS_arcount,0.16001337706538218
BOOTP_secs,0.16001209598954586
IP_DF,0.08729782941063186
ICMP_ts_ori,0.0029126479595471544
IP_MF,0.002782063543098956
ICMP_code,0.0017031345906045048
DNS_ra,0.0015259524123480972
ICMP_ptr,0.0013805894680683495
ICMP_reserved,0.001328750779869936
DNS_length,0.0012377531143439868
ICMP_ts_rx,0.00031873872019466676
BOOTP_hops,0.0003014944468385239
TCP_CWR,9.480532416844545e-05
IP_Z,7.173609241234447e-05
TCP_reserved,2.4321530544657577e-05
DNS_cd,0.0
ICMP_length,0.0
DNS_ad,0.0
DNS_z,0.0
ICMP_nexthopmtu,0.0
ICMP_ts_tx,0.0
DNS_tc,0.0
DNS_opcode,0.0
IP_frag,0.0
TCP_URG,0.0
TCP_ECE,0.0
TCP_urgptr,0.0
LLC_dsap,0.0
DNS_rcode,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
