Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.02846371487914452,19472.92566007304,7,0.0,1
Ether_type,0.006607583318784262,773222.3046205118,23,0.0,0
LLC_dsap,0.0,,73,0.0,0
LLC_ssap,0.0024727398942641166,53.57142857142858,39,0.0,0
LLC_ctrl,0.001461724803015051,9375.0,35,0.0,0
EAPOL_version,0.003750502380516551,135.1724137931035,29,0.0,0
EAPOL_type,0.0029684397293644484,418.5473684210526,37,0.0,0
EAPOL_len,0.0024192460187422737,14658.351539225421,34,0.0,0
IP_version,0.00207378690237958,17.247999999999923,53,0.0,0
IP_ihl,0.002705024617051505,23.574221900058816,31,0.0,0
IP_tos,0.0022405354693292084,1872.6183934807914,43,0.0,0
IP_len,0.03123337342493975,23150.11046491782,11,0.0,1
IP_flags,0.004319241855223065,5.026084959816304,25,0.0,0
IP_Z,0.0,,66,0.0,0
IP_MF,0.0,,65,0.0,0
IP_id,0.019007394348775665,1838287.892100133,17,0.0,1
IP_DF,0.007392564159961895,3.441558441558433,27,0.0,0
IP_frag,0.0,,67,0.0,0
IP_ttl,0.02455865151487294,7310.650095602295,15,0.0,1
IP_proto,0.006681561320921009,394.9018053375201,36,0.0,0
IP_options,0.002535736276066883,14.599999999999998,47,0.0,0
ICMP_type,0.0003539488901078626,9.422429906542053,55,0.0,0
ICMP_code,0.00023998334313951212,24.02857142857144,61,0.0,0
ICMP_chksum,0.0004454403122884831,443.3792670031894,50,0.0,0
ICMP_id,0.00038263117729110967,2906.2389729613424,63,0.0,0
ICMP_seq,0.000277100885427619,3.3999999999999995,57,0.0,0
ICMP_ts_ori,0.0,,74,0.0,0
ICMP_ts_rx,0.0,,76,0.0,0
ICMP_ts_tx,0.0,,78,0.0,0
ICMP_ptr,0.0,,79,0.0,0
ICMP_reserved,0.0,,81,0.0,0
ICMP_length,0.0,,82,0.0,0
ICMP_nexthopmtu,0.0,,86,0.0,0
TCP_seq,0.052745952567478833,540050186118.39,6,0.0,2
TCP_ack,0.010838114397020876,195939706457.05478,22,0.0,1
TCP_dataofs,0.011453230726179929,429.5015179563121,16,0.0,1
TCP_reserved,0.0,,85,0.0,0
TCP_flags,0.02918286185113035,121.8547180043383,21,0.0,1
TCP_FIN,0.00954344012090906,76.83478260869568,26,0.0,0
TCP_SYN,0.0017601317601659147,7.155769230769225,48,0.0,0
TCP_RST,0.0007295069468679763,13.599999999999998,60,0.0,0
TCP_PSH,0.0036368395170348878,108.88536880290201,49,0.0,0
TCP_ACK,0.006774585316507325,99.05054205607472,38,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.07193957772954276,3047074.624429234,5,0.0,1
TCP_chksum,0.011048731434830171,2583340.7208882407,24,0.0,0
TCP_urgptr,0.0,,71,0.0,0
TCP_options,0.007778670620369505,96.13093234601139,33,0.0,0
UDP_len,0.02026390972135107,22201.4009150493,20,0.0,1
UDP_chksum,0.017724892574683772,1303194.6098490364,18,0.0,1
DHCP_options,0.0010376763763692153,124.17826086956524,44,0.0,0
BOOTP_op,0.0009278091951856553,58.54838709677419,62,0.0,0
BOOTP_htype,0.00025387671216104405,62.72,59,0.0,0
BOOTP_hlen,0.00161424854395979,376.32000000000005,54,0.0,0
BOOTP_hops,0.0,,72,0.0,0
BOOTP_xid,0.004246379345152762,167445833659.1635,28,0.0,1
BOOTP_secs,1.6498169916524183e-05,0.7999999999999999,64,0.0,0
BOOTP_flags,0.0034417055459145572,5.595270270270291,32,0.0,0
BOOTP_sname,0.000830118281366619,62.72,58,0.0,0
BOOTP_file,0.00017189850997240653,62.72,52,0.0,0
BOOTP_options,0.00030651537315720093,62.72,51,0.0,0
DNS_length,0.0,,69,0.0,0
DNS_id,0.005639097218197114,205349.54516560928,30,0.0,0
DNS_qr,0.001228212343520166,51.199999999999996,42,0.0,0
DNS_opcode,0.0,,75,0.0,0
DNS_aa,0.00023484111869373007,52.39999999999999,45,0.0,0
DNS_tc,0.0,,80,0.0,0
DNS_rd,0.004180331538160783,32.27684729064041,40,0.0,0
DNS_ra,0.0,,70,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,87,0.0,0
DNS_cd,0.0,,68,0.0,0
DNS_rcode,0.0,,77,0.0,0
DNS_qdcount,0.00241323690767827,14.732209106239456,41,0.0,0
DNS_ancount,0.001882055979629937,265.59999999999997,46,0.0,0
DNS_nscount,0.0004738714954697029,127.39999999999998,56,0.0,0
DNS_arcount,1.164900806102428e-05,2.1999999999999993,83,0.0,0
sport_class,0.027210562010728735,38.597819405496494,13,0.0,1
dport_class,0.04957142729344421,0.2167354774239298,8,0.0,1
sport_bare,0.09043085146609664,3156833.5473643136,1,0.0,2
dport_bare,0.09321425790962568,290225.92665377754,2,0.0,1
TCP_sport,0.05657128242258648,9330584.085571602,9,0.0,1
TCP_dport,0.04165838193556873,1505760.39500009,12,0.0,1
UDP_sport,0.032518441538900385,2266518.254400232,10,0.0,1
UDP_dport,0.06245967457143506,16211699.049120825,3,0.0,1
payload_bytes,0.02496724084247669,19979.117410101833,14,0.0,1
entropy,0.06673668006828268,47.632284105245546,4,0.0,1
Protocol,0.01773980747260855,1.6560864576779686,19,0.0,1
