Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.03222063050350256,11547.601711440147,9,0.0,1
Ether_type,0.0059446132415352316,5242772.979891864,34,0.0,0
LLC_dsap,0.0,,61,0.0,0
LLC_ssap,0.00030038288821788284,38.4,55,0.0,0
LLC_ctrl,0.0007586959600308587,6720.0,50,0.0,0
EAPOL_version,0.0013917390444419604,193.1428571428572,54,0.0,0
EAPOL_type,0.0003098798160487583,579.4285714285714,47,0.0,0
EAPOL_len,0.0017205421131741064,20814.84827225131,45,0.0,0
IP_version,0.0151671243260396,106.24390243902438,32,0.0,1
IP_ihl,0.01662354689679475,135.79019120665436,11,0.0,1
IP_tos,0.0030118570593162257,9237.959951749099,38,0.0,0
IP_len,0.03679350722289639,16297.579578965095,4,0.0,1
IP_flags,0.017895906888484008,52.5164113785558,18,0.0,1
IP_Z,0.0,,67,0.0,0
IP_MF,0.0,,59,0.0,0
IP_id,0.014619510850939705,4934940.239563272,20,0.0,1
IP_DF,0.006818715881741417,59.918625678119355,28,0.0,0
IP_frag,0.0,,62,0.0,0
IP_ttl,0.011469270713811248,6658.372638534689,29,0.0,1
IP_proto,0.012800441171677931,262.89554777388696,25,0.0,1
IP_options,0.0073617106393783745,6.3999999999999995,24,0.0,0
ICMP_type,0.0010817659303953922,0.03529411764705882,44,0.0,0
ICMP_code,4.911995247492846e-05,0.19999999999999998,56,0.0,0
ICMP_chksum,0.0008021206928043057,33447.939002452986,42,0.0,0
ICMP_id,0.0003314506709660201,6453.709636326278,49,0.0,0
ICMP_seq,0.0010594996971718732,1.2,41,0.0,0
ICMP_ts_ori,0.0,,74,0.0,0
ICMP_ts_rx,0.0,,71,0.0,0
ICMP_ts_tx,0.0,,75,0.0,0
ICMP_ptr,0.0,,76,0.0,0
ICMP_reserved,0.0,,83,0.0,0
ICMP_length,0.0,,70,0.0,0
ICMP_nexthopmtu,0.0,,81,0.0,0
TCP_seq,0.02252717984712827,482984091001.9999,87,0.0,2
TCP_ack,0.011399315773636622,455893271118.99994,57,0.0,2
TCP_dataofs,0.013566210116090488,1660.3999999999996,16,0.0,1
TCP_reserved,0.0,,82,0.0,0
TCP_flags,0.024791493537372124,518.0562882392928,5,0.0,1
TCP_FIN,0.0,21.0,86,0.0,0
TCP_SYN,0.0011809159643572415,31.2,80,0.0,0
TCP_RST,0.0,7.399999999999999,73,0.0,0
TCP_PSH,0.0,68.19999999999999,69,0.0,0
TCP_ACK,0.006908204068291503,207.79999999999998,40,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.016404579552084443,2065366.9999999995,26,0.0,1
TCP_chksum,0.015787649350887407,7505866.3999999985,10,0.0,1
TCP_urgptr,0.0,,79,0.0,0
TCP_options,0.022440433102366753,232.39999999999998,15,0.0,1
UDP_len,0.03136293212264883,11352.457253815519,17,0.0,1
UDP_chksum,0.02272365414213738,4647421.348314709,6,0.0,1
DHCP_options,0.006299930130786657,579.63,31,0.0,0
BOOTP_op,0.004791703361821551,335.23255813953483,37,0.0,0
BOOTP_htype,0.0004199080015797429,197.43870967741935,46,0.0,0
BOOTP_hlen,0.0036519269208416553,1184.6322580645162,58,0.0,0
BOOTP_hops,0.0,,77,0.0,0
BOOTP_xid,0.010071918612324673,473395244430.9613,23,0.0,1
BOOTP_secs,0.0005767172262864559,0.9999999999999998,48,0.0,0
BOOTP_flags,0.011826728558524615,8.242822851656284,27,0.0,1
BOOTP_sname,0.004286476586808989,197.43870967741935,43,0.0,0
BOOTP_file,0.002316848871328879,197.43870967741935,39,0.0,0
BOOTP_options,0.0022243860109821033,197.43870967741935,30,0.0,0
DNS_length,0.0,,65,0.0,0
DNS_id,0.0030988274955644885,59197.999999999985,36,0.0,0
DNS_qr,0.0015593338369307961,21.199999999999996,52,0.0,0
DNS_opcode,0.0,,64,0.0,0
DNS_aa,0.0002457760184826378,21.799999999999994,51,0.0,0
DNS_tc,0.0,,63,0.0,0
DNS_rd,0.00090098973924596,9.999999999999996,35,0.0,0
DNS_ra,0.0,,60,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,72,0.0,0
DNS_cd,0.0,,85,0.0,0
DNS_rcode,0.0,,66,0.0,0
DNS_qdcount,0.004559070453810429,41.19999999999999,33,0.0,0
DNS_ancount,0.001297393055415916,107.59999999999997,53,0.0,0
DNS_nscount,0.00016834068694351388,49.99999999999999,78,0.0,0
DNS_arcount,2.137323243091038e-05,1.2,68,0.0,0
sport_class,0.04287270283768874,249.92507433102082,7,0.0,1
dport_class,0.0317786733030728,146.2507095553453,21,0.0,1
sport_bare,0.09323393417166767,6370223.746989299,3,0.0,1
dport_bare,0.12441026390629135,4539210.0147018675,1,0.0,2
TCP_sport,0.03145143265910685,5675390.199999999,13,0.0,1
TCP_dport,0.014788893187950288,4155198.999999999,22,0.0,1
UDP_sport,0.05666866166287272,838149.2267800578,8,0.0,1
UDP_dport,0.05173481893932176,384743.86057924834,12,0.0,1
payload_bytes,0.034241712442669485,8040.297193167022,14,0.0,1
entropy,0.059599785721113525,4.032733451991704,2,0.0,1
Protocol,0.0232768726292904,55.50229866049289,19,0.0,1
