,0
TCP_seq,96596818200.44249
BOOTP_xid,94679048886.20682
TCP_ack,91178654223.83063
TCP_chksum,1501173.3203338892
sport_bare,1274044.8476107358
TCP_sport,1135078.0835253517
Ether_type,1048554.6140313994
IP_id,986988.081271
UDP_chksum,929484.3226076463
dport_bare,907842.1076544123
TCP_dport,831039.83869562
TCP_window,413073.43968452315
UDP_sport,167629.90852576683
UDP_dport,76948.83339686404
DNS_id,11839.602640088124
ICMP_chksum,6689.5887531428725
EAPOL_len,4162.978872301673
IP_len,3259.609122034618
pck_size,2309.6083952402505
UDP_len,2270.5525875160556
IP_tos,1847.5964915184463
payload_bytes,1608.136497549859
LLC_ctrl,1344.003748619508
IP_ttl,1331.7042435151468
ICMP_id,1290.7420427671311
TCP_dataofs,332.1205975388128
BOOTP_hlen,236.93527832505688
DHCP_options,115.93847270783158
EAPOL_type,115.8935357471403
TCP_flags,103.65495958989852
BOOTP_op,67.0585270601007
IP_proto,52.631237202459864
sport_class,50.03416393715587
TCP_options,46.51478068528722
TCP_ACK,41.59552709916515
BOOTP_file,39.4990700322273
BOOTP_htype,39.49791704250806
BOOTP_options,39.4961339474331
BOOTP_sname,39.49605590650168
EAPOL_version,38.636676900332205
dport_class,29.338634357408957
IP_ihl,27.177750883000375
DNS_ancount,21.52308124004126
IP_version,21.27273269847162
TCP_PSH,13.64647221933436
IP_DF,12.003679609753952
Protocol,11.118848584458892
IP_flags,10.523959856952715
DNS_nscount,10.001179209793243
DNS_qdcount,8.246054270908456
LLC_ssap,7.681518218021944
TCP_SYN,6.242871441723955
DNS_aa,4.365390678719139
DNS_qr,4.242103036222742
TCP_FIN,4.204180525175718
DNS_rd,2.004389466797996
BOOTP_flags,1.6604541675297515
TCP_RST,1.480149530324645
IP_options,1.2855559209062175
entropy,0.8978293323281141
DNS_arcount,0.24502230039704043
ICMP_seq,0.24033174340013766
BOOTP_secs,0.20019339328723107
ICMP_code,0.04004155084560586
ICMP_type,0.007365140533657513
TCP_CWR,0.003977716627987071
IP_frag,0.0026992376613360625
TCP_reserved,0.0026454860550769177
DNS_z,0.002447521340770198
ICMP_ptr,0.002441752947751674
DNS_tc,0.0022400744751347457
ICMP_ts_ori,0.0019100665232244518
DNS_opcode,0.0016191439957886633
ICMP_reserved,0.001268638732364824
DNS_ra,0.0007144597018308718
ICMP_ts_rx,0.000500318545618661
DNS_ad,6.880654679514153e-05
ICMP_ts_tx,6.284103268361374e-05
BOOTP_hops,4.325032803348394e-05
DNS_length,0.0
TCP_urgptr,0.0
DNS_rcode,0.0
DNS_cd,0.0
IP_MF,0.0
IP_Z,0.0
ICMP_length,0.0
ICMP_nexthopmtu,0.0
LLC_dsap,0.0
TCP_URG,0.0
TCP_ECE,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
