Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.01590719704570649,53052.41967618141,19,0.0,1
Ether_type,0.0,76395.44765187224,40,0.0,0
LLC_dsap,0.0,,37,0.0,0
LLC_ssap,0.0,1.9999999999999996,35,0.0,0
LLC_ctrl,0.0,349.9999999999999,33,0.0,0
EAPOL_version,0.0,6.0,32,0.0,0
EAPOL_type,0.0,16.8,31,0.0,0
EAPOL_len,0.0,597.9999999999999,30,0.0,0
IP_version,0.0,1.1003357958361453,43,0.0,0
IP_ihl,0.0,1.1195094162589851,45,0.0,0
IP_tos,0.0,1347.1999999999996,48,0.0,0
IP_len,0.015018071137557204,52205.164411900805,18,0.0,1
IP_flags,0.001499362013130261,1.8902568745049315,27,0.0,0
IP_Z,0.0,,47,0.0,0
IP_MF,0.0,,26,0.0,0
IP_id,0.05414810643016923,11014419.940440508,8,0.0,1
IP_DF,0.001687235606721793,3.594249201277955,17,0.0,0
IP_frag,0.0,,55,0.0,0
IP_ttl,0.1974487532187192,6826.176102433915,1,0.0,2
IP_proto,0.010863925873486535,368.7768763973166,16,0.0,0
IP_options,0.0,6.199999999999998,60,0.0,0
ICMP_type,0.0,15.0,61,0.0,0
ICMP_code,0.0,0.6,69,0.0,0
ICMP_chksum,0.0,58107.0,64,0.0,0
ICMP_id,0.0,38204.19999999999,70,0.0,0
ICMP_seq,1.5398834051976678e-05,1.5999999999999999,72,0.0,0
ICMP_ts_ori,0.0,,74,0.0,0
ICMP_ts_rx,0.0,,66,0.0,0
ICMP_ts_tx,0.0,,78,0.0,0
ICMP_ptr,0.0,,76,0.0,0
ICMP_reserved,0.0,,83,0.0,0
ICMP_length,0.0,,80,0.0,0
ICMP_nexthopmtu,0.0,,81,0.0,0
TCP_seq,0.03223697988266617,112591643915.98885,10,0.0,2
TCP_ack,0.0575600615307005,750989625573.549,5,0.0,2
TCP_dataofs,0.0322707697463833,0.03847980997624703,14,0.0,1
TCP_reserved,0.0,,87,0.0,0
TCP_flags,0.014381658626936258,160.85723076923077,15,0.0,1
TCP_FIN,0.0008793717777259722,33.6,44,0.0,0
TCP_SYN,0.0005466879934692427,48.199999999999996,39,0.0,0
TCP_RST,0.00022958803443406402,10.8,42,0.0,0
TCP_PSH,0.005316172765809662,157.38419618528616,36,0.0,0
TCP_ACK,0.003902351506531943,85.83610315186246,12,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.042131972595540045,272081.8087705796,13,0.0,1
TCP_chksum,0.009323895030198587,495313.8069343794,21,0.0,0
TCP_urgptr,0.0,,38,0.0,0
TCP_options,0.006846695477923452,52.98853109836791,23,0.0,0
UDP_len,0.0017012880317951037,27496.999999999993,22,0.0,0
UDP_chksum,0.0005044204026993744,4382693.199999999,24,0.0,0
DHCP_options,0.0,16.599999999999998,41,0.0,0
BOOTP_op,0.0,7.999999999999998,25,0.0,0
BOOTP_htype,0.0,6.999999999999998,28,0.0,0
BOOTP_hlen,0.0,42.0,29,0.0,0
BOOTP_hops,0.0,,57,0.0,0
BOOTP_xid,0.0,12367031062.399998,46,0.0,0
BOOTP_secs,0.0,1.5999999999999999,49,0.0,0
BOOTP_flags,0.0,0.13119533527696792,62,0.0,0
BOOTP_sname,0.0,6.999999999999998,51,0.0,0
BOOTP_file,0.0,6.999999999999998,52,0.0,0
BOOTP_options,0.0,6.999999999999998,54,0.0,0
DNS_length,0.0,,58,0.0,0
DNS_id,0.0,152400.6,59,0.0,0
DNS_qr,0.0,33.8,63,0.0,0
DNS_opcode,0.0,,67,0.0,0
DNS_aa,0.00010360730305136333,34.2,65,0.0,0
DNS_tc,0.0,,68,0.0,0
DNS_rd,0.0,20.199999999999996,82,0.0,0
DNS_ra,0.0,,79,0.0,0
DNS_z,0.0,,73,0.0,0
DNS_ad,0.0,,75,0.0,0
DNS_cd,0.0,,86,0.0,0
DNS_rcode,0.0,,71,0.0,0
DNS_qdcount,0.0,81.0,77,0.0,0
DNS_ancount,0.00012342397941814766,186.6,84,0.0,0
DNS_nscount,0.0,97.99999999999997,85,0.0,0
DNS_arcount,0.0,,56,0.0,0
sport_class,0.049771727434511616,480.78440046565777,7,0.0,1
dport_class,0.02713081717698854,632.1866456091384,9,0.0,1
sport_bare,0.09171520602611896,14038530.900702884,2,0.0,1
dport_bare,0.09927253783336694,615184.7262470188,6,0.0,1
TCP_sport,0.1278287194619786,22360737.246905923,3,0.0,1
TCP_dport,0.06911904056769563,363623.44874233054,4,0.0,1
UDP_sport,0.0017806165615425916,2427367.5999999996,53,0.0,0
UDP_dport,0.0,570624.7999999999,50,0.0,0
payload_bytes,0.022995046394229314,63105.36611818203,11,0.0,1
entropy,0.005336191026609014,1.8782617979094587,20,0.0,0
Protocol,0.00040310267213293906,69.8453380862202,34,0.0,0
