Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.01471068787513397,6402.026703719541,20,0.0,1
Ether_type,0.002855824410929865,8798.954925855951,24,0.0,0
LLC_dsap,0.0,,73,0.0,0
LLC_ssap,0.0002258538419508042,8.000000000000002,45,0.0,0
LLC_ctrl,0.00036937771931169083,1400.0000000000005,49,0.0,0
EAPOL_version,0.0009172704361417616,4.802597402597406,35,0.0,0
EAPOL_type,0.0006920192924298213,16.2,41,0.0,0
EAPOL_len,0.0006935132675337177,503.274507811508,48,0.0,0
IP_version,0.0015027691289800616,0.004928131416837783,44,0.0,0
IP_ihl,0.0024664263678067315,0.006982135551618364,23,0.0,0
IP_tos,0.0018029502488442603,3838.3999999999996,39,0.0,0
IP_len,0.020855482107882493,6496.63064442737,13,0.0,1
IP_flags,0.15269950747773786,268.80271591526343,1,0.0,2
IP_Z,0.0,,72,0.0,0
IP_MF,0.0,,64,0.0,0
IP_id,0.06856209857035131,23373284.21444812,5,0.0,1
IP_DF,0.19165274448393096,945.0,2,0.18674136321195145,2
IP_frag,0.0,,68,0.0,0
IP_ttl,0.07551376990898993,209308.62841298443,4,0.0,1
IP_proto,0.024520017378611626,5622.759582790091,9,0.0,1
IP_options,0.0009832944682630427,0.007142857142857296,26,0.0,0
ICMP_type,0.00010786484687327701,19.2,53,0.0,0
ICMP_code,5.963218828908995e-05,1.2,56,0.0,0
ICMP_chksum,5.9443430611238365e-05,65518.999999999985,58,0.0,0
ICMP_id,4.242409220438982e-06,36365.59999999999,70,0.0,0
ICMP_seq,0.0,2.1999999999999993,81,0.0,0
ICMP_ts_ori,0.0,,76,0.0,0
ICMP_ts_rx,0.0,,84,0.0,0
ICMP_ts_tx,0.0,,78,0.0,0
ICMP_ptr,0.0,,82,0.0,0
ICMP_reserved,0.0,,75,0.0,0
ICMP_length,0.0,,86,0.0,0
ICMP_nexthopmtu,0.0,,87,0.0,0
TCP_seq,0.003799253419990364,1515335189555.1997,27,0.0,1
TCP_ack,0.0030916933540643026,1452279289685.7998,42,0.0,1
TCP_dataofs,0.009603186993176608,5186.799999999999,29,0.0,0
TCP_reserved,0.0,,60,0.0,0
TCP_flags,0.00973946968727258,1627.2286564204264,36,0.0,0
TCP_FIN,0.0,73.2,67,0.0,0
TCP_SYN,0.0,96.39999999999999,59,0.0,0
TCP_RST,2.971794081718308e-05,16.2,69,0.0,0
TCP_PSH,0.0006725632417712746,211.59999999999994,61,0.0,0
TCP_ACK,0.000422188412576434,657.9999999999998,57,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.006804199953573863,6618958.8,34,0.0,0
TCP_chksum,0.009822358189439882,23772916.599999998,21,0.0,0
TCP_urgptr,0.0,,71,0.0,0
TCP_options,0.007066077449945653,725.7999999999997,25,0.0,0
UDP_len,0.045861546953051925,178312.57308521454,7,0.0,1
UDP_chksum,0.024166913159743987,22539665.91430361,10,0.0,1
DHCP_options,0.0010296397964030236,6.160693641618501,33,0.0,0
BOOTP_op,0.0007968728761594347,0.26593406593406654,51,0.0,0
BOOTP_htype,0.0009780524360184948,1.2100000000000013,47,0.0,0
BOOTP_hlen,0.00046989227916928764,7.26,63,0.0,0
BOOTP_hops,0.0,,79,0.0,0
BOOTP_xid,0.002788957627425955,1865918241.1455023,31,0.0,0
BOOTP_secs,1.8747918153767715e-05,0.9999999999999998,55,0.0,0
BOOTP_flags,0.0014502738795988668,0.0,50,0.0,0
BOOTP_sname,0.0004934995612031697,1.2100000000000013,43,0.0,0
BOOTP_file,0.0003776863073895324,1.2100000000000013,40,0.0,0
BOOTP_options,0.000567467270717121,1.2100000000000013,46,0.0,0
DNS_length,0.0,,74,0.0,0
DNS_id,0.003331782120367881,205013.59999999998,38,0.0,0
DNS_qr,0.0005933913982952366,240.88024439918541,30,0.0,0
DNS_opcode,0.0,,77,0.0,0
DNS_aa,0.0031825139605905686,236.45454545454544,32,0.0,0
DNS_tc,0.0,,85,0.0,0
DNS_rd,0.0029940289130251548,28.446153846153837,52,0.0,0
DNS_ra,0.0,,62,0.0,0
DNS_z,0.0,,80,0.0,0
DNS_ad,0.0,,66,0.0,0
DNS_cd,0.0,,65,0.0,0
DNS_rcode,0.0,,83,0.0,0
DNS_qdcount,0.0028582028235629065,5.381818181818176,28,0.0,0
DNS_ancount,0.010742884410633369,462.60309677419355,22,0.0,0
DNS_nscount,0.0017346211022728096,0.5753191489361683,37,0.0,0
DNS_arcount,8.507757015322101e-05,3.7999999999999994,54,0.0,0
sport_class,0.015934691834045278,289.60805850837687,17,0.0,1
dport_class,0.015909372862828963,786.9061367645526,14,0.0,1
sport_bare,0.04289482794555747,7903494.721070396,12,0.0,1
dport_bare,0.019008389680262267,11682487.563315481,11,0.0,1
TCP_sport,0.021710792847024152,17135367.799999993,18,0.0,1
TCP_dport,0.016902860379140214,13454296.399999999,16,0.0,1
UDP_sport,0.06676283963704545,95180302.82757096,3,0.0,1
UDP_dport,0.03517767316839634,86290.9160510665,6,0.0,1
payload_bytes,0.014257328184055111,3173.9211174071556,15,0.0,1
entropy,0.026816253985611306,1432.366307741523,8,0.0,1
Protocol,0.007797418609645631,0.4106870229007801,19,0.0,0
