Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.049007436033545716,45692.87592054513,10,0.0,1
Ether_type,0.0025879372900173524,116764.53837041311,43,0.0,0
LLC_dsap,0.0,,65,0.0,0
LLC_ssap,0.00030867997827735156,0.9999999999999998,54,0.0,0
LLC_ctrl,9.071968347606365e-05,174.99999999999994,59,0.0,0
EAPOL_version,7.531304550058902e-05,6.799999999999999,51,0.0,0
EAPOL_type,2.7122093619795373e-05,18.6,56,0.0,0
EAPOL_len,3.7888341371087967e-05,659.4,47,0.0,0
IP_version,0.001619445006548479,1.4871016691957681,32,0.0,0
IP_ihl,0.005380857421626319,3.2095597674243184,28,0.0,0
IP_tos,0.0017577233966631065,1372.8,34,0.0,0
IP_len,0.030755901551114375,44578.70514339461,8,0.0,1
IP_flags,0.012933213662357723,0.8743801652892433,9,0.0,1
IP_Z,0.0,,73,0.0,0
IP_MF,0.0,,71,0.0,0
IP_id,0.0651561701986853,10142040.210369205,4,0.0,1
IP_DF,0.01335857770647535,5.37185678601165,16,0.0,1
IP_frag,0.0,,75,0.0,0
IP_ttl,0.11193891727294389,4615.399147008298,2,0.0,1
IP_proto,0.006788902919523563,80.50577808976426,22,0.0,0
IP_options,0.006010938846988196,39.114285714285714,18,0.0,0
ICMP_type,1.866801942889642e-05,6.3999999999999995,66,0.0,0
ICMP_code,0.0,,78,0.0,0
ICMP_chksum,7.262885908124587e-06,28479.0,67,0.0,0
ICMP_id,0.0,11883.199999999999,64,0.0,0
ICMP_seq,2.0801957858338988e-05,1.3999999999999997,60,0.0,0
ICMP_ts_ori,0.0,,84,0.0,0
ICMP_ts_rx,0.0,,82,0.0,0
ICMP_ts_tx,0.0,,80,0.0,0
ICMP_ptr,0.0,,70,0.0,0
ICMP_reserved,0.0,,62,0.0,0
ICMP_length,0.0,,61,0.0,0
ICMP_nexthopmtu,0.0,,63,0.0,0
TCP_seq,0.00631386606012504,31465356618.16451,20,0.0,1
TCP_ack,0.005036035067741407,33708932448.09705,29,0.0,1
TCP_dataofs,0.011733471142415247,56.27717314487632,15,0.0,1
TCP_reserved,0.0,,87,0.0,0
TCP_flags,0.007197084050098135,36.393853121967,24,0.0,0
TCP_FIN,0.0004965319576605473,29.844720496894404,55,0.0,0
TCP_SYN,0.00031026205604939327,8.87076923076923,53,0.0,0
TCP_RST,0.0011175618552091056,7.446153846153848,30,0.0,0
TCP_PSH,0.004078416766146355,75.98101265822788,35,0.0,0
TCP_ACK,0.001927430339108266,9.906089926010257,31,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.03129998632792224,480694.419669074,27,0.0,1
TCP_chksum,0.0031777042041562457,525314.5327672524,33,0.0,0
TCP_urgptr,0.0,,76,0.0,0
TCP_options,0.0010049281230201505,5.931308900523569,38,0.0,0
UDP_len,0.008842766292135786,8600.358504936316,19,0.0,0
UDP_chksum,0.005240516468150297,500877.9308665774,23,0.0,0
DHCP_options,0.0010146337384612234,94.87647058823532,37,0.0,0
BOOTP_op,0.0016883166569386602,25.970491803278694,42,0.0,0
BOOTP_htype,0.0009764417619249904,29.18620689655173,40,0.0,0
BOOTP_hlen,0.0008022777134304661,175.11724137931037,36,0.0,0
BOOTP_hops,0.0,,69,0.0,0
BOOTP_xid,0.008306984926523073,177963938870.87534,17,0.0,1
BOOTP_secs,0.00016939904807475014,96.11428571428576,49,0.0,0
BOOTP_flags,0.0062681926092855314,3.0617363344051447,21,0.0,0
BOOTP_sname,0.0010848418753000653,29.18620689655173,39,0.0,0
BOOTP_file,0.0006430013915348354,29.18620689655173,45,0.0,0
BOOTP_options,0.002026274735841752,29.18620689655173,46,0.0,0
DNS_length,0.0,,68,0.0,0
DNS_id,0.004122697382863354,1494559.5740179105,26,0.0,0
DNS_qr,0.00028587410738844745,30.199999999999992,52,0.0,0
DNS_opcode,0.0,,79,0.0,0
DNS_aa,0.0,30.199999999999992,48,0.0,0
DNS_tc,0.0,,72,0.0,0
DNS_rd,0.00046431653525587076,0.226168224299065,44,0.0,0
DNS_ra,0.0,,81,0.0,0
DNS_z,0.0,,74,0.0,0
DNS_ad,0.0,,77,0.0,0
DNS_cd,0.0,,85,0.0,0
DNS_rcode,0.0,,83,0.0,0
DNS_qdcount,0.0008814796935369673,38.5342618384401,50,0.0,0
DNS_ancount,0.000170116731603721,156.99999999999994,58,0.0,0
DNS_nscount,1.103140608699626e-07,79.39999999999998,57,0.0,0
DNS_arcount,0.0,3.6,86,0.0,0
sport_class,0.04714260704518582,107.26956231206148,12,0.0,1
dport_class,0.03726983685332197,306.75505532239606,7,0.0,1
sport_bare,0.09476181266230953,9985344.382376842,1,0.0,2
dport_bare,0.08378814474335156,15232454.717811618,6,0.0,1
TCP_sport,0.1407051476651773,16687269.543317558,3,0.0,1
TCP_dport,0.07775850212487025,17491088.972291693,5,0.0,1
UDP_sport,0.021396088301901567,2044056.3778564713,11,0.0,1
UDP_dport,0.013258647167621596,398554.75013079506,25,0.0,1
payload_bytes,0.03322267576326209,52786.299439212584,13,0.0,1
entropy,0.024548488112969055,238.53139518116586,14,0.0,1
Protocol,0.00158405231613688,74.1588785046729,41,0.0,0
