Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.02239989123579527,10.488322673819019,10,0.0,1
Ether_type,0.01076375154092037,2086704.0621210192,20,0.0,0
LLC_dsap,0.0,,60,0.0,0
LLC_ssap,0.0004563129893659311,1.6000000000000005,44,0.0,0
LLC_ctrl,0.0005464931089684678,280.0,47,0.0,0
EAPOL_version,0.009419451700281137,154.88000000000002,29,0.0,0
EAPOL_type,0.00479114759390272,464.64,24,0.0,0
EAPOL_len,0.007017576556988393,16541.85320056899,26,0.0,0
IP_version,0.012438216251870034,35.723893805309736,49,0.0,1
IP_ihl,0.008491351312090023,37.55346795434592,23,0.0,0
IP_tos,0.0053301376429320535,20513.898305084746,39,0.0,0
IP_len,0.03688406444266965,315.1666214599122,11,0.0,1
IP_flags,0.07743493086372141,52.00705882352939,5,0.0,1
IP_Z,0.0,,69,0.0,0
IP_MF,0.0,,55,0.0,0
IP_id,0.014298164113624267,772783.8387919303,14,0.0,1
IP_DF,0.09879879761257505,105.45226860254083,3,0.12975265750583323,2
IP_frag,0.0,,58,0.0,0
IP_ttl,0.01870718730038903,0.6619650167473018,31,0.0,1
IP_proto,0.01033822733930913,10.945159275452868,19,0.0,0
IP_options,0.0018843877335857232,35.266666666666666,35,0.0,0
ICMP_type,0.0008903286673258089,6.3999999999999995,50,0.0,0
ICMP_code,0.0,,77,0.0,0
ICMP_chksum,0.0009939272489209454,25538.799999999996,53,0.0,0
ICMP_id,0.00027034223124509975,24120.0,48,0.0,0
ICMP_seq,8.5952380952381e-05,1.3999999999999997,56,0.0,0
ICMP_ts_ori,0.0,,66,0.0,0
ICMP_ts_rx,0.0,,74,0.0,0
ICMP_ts_tx,0.0,,70,0.0,0
ICMP_ptr,0.0,,83,0.0,0
ICMP_reserved,0.0,,78,0.0,0
ICMP_length,0.0,,84,0.0,0
ICMP_nexthopmtu,0.0,,85,0.0,0
TCP_seq,0.0013317810173856773,167664194965.3855,41,0.0,1
TCP_ack,0.001460858232952219,165794504033.0016,40,0.0,1
TCP_dataofs,0.004388421748355218,571.8417730020146,42,0.0,0
TCP_reserved,0.0,,79,0.0,0
TCP_flags,0.005492901820083981,164.1894139886578,34,0.0,0
TCP_FIN,0.002576465737263626,3.378378378378377,38,0.0,0
TCP_SYN,0.00022922537510791373,12.2,51,0.0,0
TCP_RST,8.924819942416214e-06,1.9999999999999996,52,0.0,0
TCP_PSH,0.0,21.999999999999996,63,0.0,0
TCP_ACK,0.00034216970840330755,70.87619047619047,46,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.007166755702156545,525127.6211935068,22,0.0,0
TCP_chksum,0.004116783104557243,2534677.442746019,32,0.0,0
TCP_urgptr,0.0,,67,0.0,0
TCP_options,0.0027945183157947143,79.86808510638298,54,0.0,0
UDP_len,0.011460366710330667,18445.782346770575,21,0.0,1
UDP_chksum,0.004938869625635039,28068.295265765733,18,0.0,0
DHCP_options,0.010724443166546378,786.6163265306125,12,0.0,0
BOOTP_op,0.03117954430136074,449.3283018867926,16,0.0,1
BOOTP_htype,0.029598328551880406,291.6,27,0.0,1
BOOTP_hlen,0.029784233985502156,1749.6,25,0.0,1
BOOTP_hops,0.0,,72,0.0,0
BOOTP_xid,0.05015390992252135,865280946788.8058,8,0.0,2
BOOTP_secs,0.0,,61,0.0,0
BOOTP_flags,0.014563268225328493,25.921000000000028,15,0.0,1
BOOTP_sname,0.016323653089360863,291.6,36,0.0,1
BOOTP_file,0.0314993982630997,291.6,17,0.0,1
BOOTP_options,0.023473425242355586,291.6,45,0.0,1
DNS_length,0.0,,71,0.0,0
DNS_id,0.0015226163304686144,31686.0,57,0.0,0
DNS_qr,0.0,7.599999999999999,68,0.0,0
DNS_opcode,0.0,,75,0.0,0
DNS_aa,0.00021635452181137534,7.999999999999998,62,0.0,0
DNS_tc,0.0,,81,0.0,0
DNS_rd,0.001843843616603881,5.799999999999999,64,0.0,0
DNS_ra,0.0,,82,0.0,0
DNS_z,0.0,,76,0.0,0
DNS_ad,0.0,,87,0.0,0
DNS_cd,0.0,,86,0.0,0
DNS_rcode,0.0,,80,0.0,0
DNS_qdcount,0.0007473888519993579,18.0,43,0.0,0
DNS_ancount,0.0,46.2,73,0.0,0
DNS_nscount,0.00019767494407588467,18.4,65,0.0,0
DNS_arcount,0.0,,59,0.0,0
sport_class,0.10602392704121491,612.92463022508,2,0.0,1
dport_class,0.023639691191006857,430.57788480061623,7,0.0,1
sport_bare,0.07049457330740183,2648081.4461944294,1,0.0,2
dport_bare,0.06388874832035196,1582417.101054951,6,0.0,1
TCP_sport,0.007088594667343414,2011083.3975445046,28,0.0,0
TCP_dport,0.003703024313978765,1433745.2776484694,33,0.0,0
UDP_sport,0.010054729950704697,637759.2768023548,30,0.0,0
UDP_dport,0.010376749751117043,148801.79191937452,37,0.0,0
payload_bytes,0.013431996750252514,458.2573889628137,9,0.0,1
entropy,0.039369073009097914,2.952232294630753,4,0.0,1
Protocol,0.021552126899213948,26.70217076700434,13,0.0,1
