,0
BOOTP_xid,173056189357.8316
TCP_seq,33532838993.108196
TCP_ack,33158900806.62795
sport_bare,529616.3758608872
TCP_chksum,506935.5163326447
Ether_type,417340.83324234694
TCP_sport,402216.7092336755
dport_bare,316483.49938874284
TCP_dport,286749.0899977933
IP_id,154556.8041979806
UDP_sport,127551.89491812038
TCP_window,105025.55853132861
UDP_dport,29760.39853939679
DNS_id,6337.200321267977
UDP_chksum,5613.6996647992255
ICMP_chksum,5107.7635282535575
ICMP_id,4824.000071777715
IP_tos,4102.793404877842
UDP_len,3689.2004304519787
EAPOL_len,3308.3936707239654
BOOTP_hlen,349.9643384448109
DHCP_options,157.36201478702384
sport_class,122.68335390108871
TCP_dataofs,114.39993050323253
EAPOL_type,92.94970256261419
payload_bytes,91.72935791095213
BOOTP_op,89.90826397922841
dport_class,86.1920409137056
IP_len,63.113553806382924
BOOTP_file,58.36839186588143
BOOTP_htype,58.36570078656899
BOOTP_options,58.36564179025112
BOOTP_sname,58.354851030218775
LLC_ctrl,56.00022403271748
TCP_flags,32.8734315919218
EAPOL_version,30.99880744661713
IP_DF,21.18134490471369
TCP_options,16.012041580569466
TCP_ACK,14.206241925924221
IP_flags,10.465073580612472
DNS_ancount,9.240050147299458
IP_ihl,7.533945858274521
IP_version,7.163195830211802
IP_options,7.056290917034374
Protocol,5.3600122576153435
BOOTP_flags,5.223699491896728
TCP_PSH,4.4028636589049075
DNS_nscount,3.685829095220471
DNS_qdcount,3.605011372678237
TCP_SYN,2.443226919168278
IP_proto,2.23221728249226
pck_size,2.1785017969711142
DNS_aa,1.6017165521849765
DNS_qr,1.5211665760140172
ICMP_type,1.2827235212016508
DNS_rd,1.1623303097016486
entropy,0.6788157143454608
TCP_FIN,0.6766336907749884
TCP_RST,0.4016079175657451
LLC_ssap,0.32031396297850917
ICMP_seq,0.2845480526724077
IP_ttl,0.16123843332477078
TCP_ECE,0.009608066431244233
IP_MF,0.005989558664493688
TCP_URG,0.0056671999798199035
ICMP_length,0.005307386354331034
ICMP_ptr,0.0033982790174512667
IP_frag,0.0025458694485435696
IP_Z,0.0020800565853579256
DNS_cd,0.002031178619839258
ICMP_ts_tx,0.0018929256435122332
LLC_dsap,0.001678857695335767
ICMP_reserved,0.0015821716236206762
DNS_tc,0.0014715664376213633
DNS_arcount,0.0014701168595566694
ICMP_ts_ori,0.0013046721901993075
DNS_length,0.0009966142792170452
ICMP_code,0.0
TCP_urgptr,0.0
DNS_z,0.0
ICMP_ts_rx,0.0
DNS_rcode,0.0
DNS_ad,0.0
DNS_ra,0.0
DNS_opcode,0.0
ICMP_nexthopmtu,0.0
TCP_reserved,0.0
BOOTP_secs,0.0
BOOTP_hops,0.0
TCP_CWR,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
