Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.02332811154275625,541.9184681145418,8,0.0,1
Ether_type,0.004727652570064728,377231.4387945513,29,0.0,0
LLC_dsap,0.0,,63,0.0,0
LLC_ssap,2.683939653875899e-05,0.6,58,0.0,0
LLC_ctrl,2.8722132297842085e-05,105.0,60,0.0,0
EAPOL_version,0.004125983434408548,72.79016393442625,27,0.0,0
EAPOL_type,0.005617566798931558,218.3704918032787,22,0.0,0
EAPOL_len,0.006389481178172297,7361.741127922971,17,0.0,0
IP_version,0.0009031198781950995,3.9591756624141317,45,0.0,0
IP_ihl,0.0006145937614352256,5.716723193321111,46,0.0,0
IP_tos,0.0038849429365537076,2076.7999999999997,34,0.0,0
IP_len,0.02233842458343778,934.8136758724818,12,0.0,1
IP_flags,0.002720384064761839,1.0804335803561487,24,0.0,0
IP_Z,0.0,,85,0.0,0
IP_MF,0.0,,77,0.0,0
IP_id,0.04577850665347393,41019.78171259492,7,0.0,1
IP_DF,0.004754722268600816,0.6763380281690086,30,0.0,0
IP_frag,0.0,,73,0.0,0
IP_ttl,0.009833962259469857,4226.233610843091,18,0.0,0
IP_proto,0.003935984004688929,21.589828240017845,33,0.0,0
IP_options,0.00016402172400919828,9.399999999999999,71,0.0,0
ICMP_type,6.023379457507907e-05,14.4,59,0.0,0
ICMP_code,0.0,,81,0.0,0
ICMP_chksum,1.3699063355580092e-05,49911.6,50,0.0,0
ICMP_id,0.0,20542.6,56,0.0,0
ICMP_seq,1.9829130795787296e-05,1.8,70,0.0,0
ICMP_ts_ori,0.0,,62,0.0,0
ICMP_ts_rx,0.0,,61,0.0,0
ICMP_ts_tx,0.0,,64,0.0,0
ICMP_ptr,0.0,,72,0.0,0
ICMP_reserved,0.0,,69,0.0,0
ICMP_length,0.0,,74,0.0,0
ICMP_nexthopmtu,0.0,,76,0.0,0
TCP_seq,0.01582565679436372,11959116571.263311,19,0.0,2
TCP_ack,0.00868706390047169,13875396092.181297,26,0.0,1
TCP_dataofs,0.01428667665157018,36.960641417607846,20,0.0,1
TCP_reserved,0.0,,68,0.0,0
TCP_flags,0.006517005762475249,7.3149381541389475,31,0.0,0
TCP_FIN,0.0028072926476528743,32.4,36,0.0,0
TCP_SYN,0.00016054000799640728,22.210847457627114,40,0.0,0
TCP_RST,0.0018699486641686745,18.76623376623377,43,0.0,0
TCP_PSH,0.0008096829769574008,12.861736334405157,44,0.0,0
TCP_ACK,0.001841876323353296,0.01993896236012305,39,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.028035416033685038,419567.6802962718,13,0.0,1
TCP_chksum,0.00623410823889682,20833.904644032682,35,0.0,0
TCP_urgptr,0.0,,78,0.0,0
TCP_options,0.0013841714164029573,0.16021798365122616,32,0.0,0
UDP_len,0.019508832716999592,1298.8961753759736,11,0.0,1
UDP_chksum,0.01360786589174786,31838.43714802985,15,0.0,1
DHCP_options,0.001633617932316471,48.41694915254237,42,0.0,0
BOOTP_op,0.0010664518871323643,22.41978021978023,53,0.0,0
BOOTP_htype,0.0010883645543722654,28.628915662650613,54,0.0,0
BOOTP_hlen,0.0015441269019931627,171.77349397590362,49,0.0,0
BOOTP_hops,0.0,,66,0.0,0
BOOTP_xid,0.003940758381831992,4414012096.725725,28,0.0,1
BOOTP_secs,0.00010578142158180237,1.9999999999999996,51,0.0,0
BOOTP_flags,0.004288155861165867,0.49907578558225507,25,0.0,0
BOOTP_sname,0.0003574905431411027,28.628915662650613,38,0.0,0
BOOTP_file,0.0011120567331909226,28.628915662650613,47,0.0,0
BOOTP_options,0.00127199868583527,28.628915662650613,37,0.0,0
DNS_length,0.0,,65,0.0,0
DNS_id,0.007179810496838035,167864.12331699888,21,0.0,0
DNS_qr,0.0,33.6,55,0.0,0
DNS_opcode,0.0,,75,0.0,0
DNS_aa,0.00040355984247562204,33.99999999999999,52,0.0,0
DNS_tc,0.0,,79,0.0,0
DNS_rd,0.0013675469657976813,11.49681528662421,41,0.0,0
DNS_ra,0.0,,82,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,83,0.0,0
DNS_cd,0.0,,86,0.0,0
DNS_rcode,0.0,,87,0.0,0
DNS_qdcount,0.0010361622165171959,15.397241379310346,48,0.0,0
DNS_ancount,0.00018771170174805175,173.59999999999997,57,0.0,0
DNS_nscount,8.612005558638164e-05,87.6,67,0.0,0
DNS_arcount,1.1356795105566039e-05,1.5999999999999999,80,0.0,0
sport_class,0.04344563702920091,110.52833237160992,10,0.0,1
dport_class,0.08718086743053206,196.1684744498324,5,0.0,1
sport_bare,0.055349894028360574,6457562.675853498,4,0.0,1
dport_bare,0.160917937131293,13433264.913974851,1,0.0,2
TCP_sport,0.06067281810669132,6061874.24275358,6,0.0,1
TCP_dport,0.18048050128025378,15687687.00851144,2,0.0,1
UDP_sport,0.02138089376977578,581547.3914270971,14,0.0,1
UDP_dport,0.007950326727948199,582702.064800166,23,0.0,0
payload_bytes,0.020881867541465007,776.7522311582418,9,0.0,1
entropy,0.056486742832437174,1.239842189074583,3,0.0,1
Protocol,0.0177285239421479,51.1651376146789,16,0.0,1
