,0
BOOTP_xid,4575432437.316099
TCP_seq,3466284175.62839
TCP_ack,66353306.000603735
TCP_dport,3048456.959545461
dport_bare,2635086.547633415
sport_bare,1079445.630838402
TCP_sport,1059309.0194280215
UDP_dport,107577.6073018203
TCP_window,89181.12840898658
UDP_sport,71807.27500823952
Ether_type,64091.93015348136
DNS_id,34006.385578927424
TCP_chksum,28430.152159450332
UDP_chksum,17567.414871342917
ICMP_chksum,15058.600009384778
ICMP_id,10704.200047115877
EAPOL_len,1387.403510363275
IP_id,1330.348006683656
IP_ttl,786.3591533697964
IP_tos,421.7642035784185
UDP_len,204.72675711111552
BOOTP_hlen,54.52211812217287
EAPOL_type,39.30143428421564
dport_class,37.599853529096805
DNS_ancount,32.84178668109089
DNS_nscount,20.16205956216006
DHCP_options,15.83229263760565
sport_class,15.649704410032395
Protocol,12.45640382326301
EAPOL_version,12.313972151234186
BOOTP_file,9.089125255074872
BOOTP_options,9.089111050501266
BOOTP_htype,9.08860075722703
BOOTP_sname,9.088364122694943
TCP_FIN,7.164309840191478
TCP_dataofs,7.048267862077532
BOOTP_op,6.967344960747907
DNS_aa,6.041671666316285
DNS_qr,5.922347731632657
TCP_RST,5.303256051167883
pck_size,4.71115875097513
TCP_SYN,4.633907485973891
ICMP_type,4.400338001674729
DNS_qdcount,3.8307760056810665
IP_proto,3.6921823083361334
payload_bytes,3.0876575867403084
TCP_PSH,2.9618786692616914
DNS_rd,2.9059928414037435
IP_options,2.042162382237684
TCP_flags,1.9536022331722407
IP_ihl,1.0330700937170638
LLC_ctrl,1.0005988996428588
IP_len,0.7250198823455217
IP_version,0.6985006335981103
ICMP_seq,0.48079103499838755
entropy,0.4677787773715346
DNS_arcount,0.24
IP_flags,0.21305931755554855
BOOTP_flags,0.1662194031404121
BOOTP_secs,0.16003880600370912
IP_DF,0.15219602557620932
ICMP_code,0.08000494478955111
TCP_options,0.059252938788412
TCP_ACK,0.009880670578854134
LLC_ssap,0.0058021574253153164
BOOTP_hops,0.0026535943330692757
ICMP_length,0.0015288706958413445
DNS_length,0.001480444880468168
DNS_cd,0.0013582041255597033
DNS_ad,0.0013292865807775223
IP_Z,0.0011598320192829359
TCP_URG,0.0010612413831943002
ICMP_ts_ori,0.0009316640339057103
ICMP_reserved,0.0009038121416297673
TCP_CWR,0.0007299432856770482
TCP_urgptr,0.0004541511445452229
IP_MF,0.00016394446721951228
LLC_dsap,0.0
TCP_reserved,0.0
TCP_ECE,0.0
DNS_rcode,0.0
DNS_z,0.0
DNS_ra,0.0
IP_frag,0.0
DNS_opcode,0.0
ICMP_ts_rx,0.0
ICMP_ts_tx,0.0
ICMP_ptr,0.0
ICMP_nexthopmtu,0.0
DNS_tc,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
