Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.042346268221510754,321932.31906233326,7,0.0,1
Ether_type,0.0007712244264501455,16689.560206338945,39,0.0,0
LLC_dsap,0.0,,66,0.0,0
LLC_ssap,9.579014373759363e-05,5.0,48,0.0,0
LLC_ctrl,0.00032897828684369827,875.0,57,0.0,0
EAPOL_version,0.0003578558112166604,1.476923076923077,42,0.0,0
EAPOL_type,7.866000330881254e-05,5.832000000000001,58,0.0,0
EAPOL_len,0.00023916669103680527,198.49474744930112,50,0.0,0
IP_version,0.0004605108392188849,0.385785407725312,46,0.0,0
IP_ihl,0.0011338068217189004,0.7678492011905045,34,0.0,0
IP_tos,0.0010836525968397589,2033.3553767373805,38,0.0,0
IP_len,0.04312564625549486,326336.5574351615,11,0.0,1
IP_flags,0.0012878541346482795,0.12275383280301491,33,0.0,0
IP_Z,0.0,,84,0.0,0
IP_MF,0.0,,68,0.0,0
IP_id,0.040960493893465295,73965.47003423268,10,0.0,1
IP_DF,0.00143709845954321,0.8914285714285715,32,0.0,0
IP_frag,0.0,,65,0.0,0
IP_ttl,0.023959709056125877,12455.522602660161,14,0.0,1
IP_proto,0.004034096198522814,11.624602881418472,28,0.0,0
IP_options,0.0002603284063737113,9.24528301886792,49,0.0,0
ICMP_type,0.0003118511761093733,38.343558282208605,61,0.0,0
ICMP_code,3.979554529157181e-05,1.5999999999999999,64,0.0,0
ICMP_chksum,0.0015958467363144779,60802.5570862586,31,0.0,0
ICMP_id,0.004312410710817058,611097.9937313707,24,0.0,0
ICMP_seq,0.0004527048756763285,1.96,43,0.0,0
ICMP_ts_ori,0.0,,69,0.0,0
ICMP_ts_rx,0.0,,72,0.0,0
ICMP_ts_tx,0.0,,73,0.0,0
ICMP_ptr,0.0,,75,0.0,0
ICMP_reserved,0.0,,81,0.0,0
ICMP_length,0.0,,82,0.0,0
ICMP_nexthopmtu,0.0,,86,0.0,0
TCP_seq,0.06185499813229531,30843448850.614094,5,0.0,2
TCP_ack,0.02624351637838369,48881040330.88293,16,0.0,2
TCP_dataofs,0.032171958666588,9.787255335807014,15,0.0,1
TCP_reserved,0.0,,74,0.0,0
TCP_flags,0.009941809235517018,2.6519169247955796,22,0.0,0
TCP_FIN,0.0006445631667315314,35.57894736842104,45,0.0,0
TCP_SYN,0.005017622892915251,8.157894736842115,27,0.0,0
TCP_RST,0.0010324061456355048,9.657142857142857,35,0.0,0
TCP_PSH,0.001705383759613828,19.226373626373626,36,0.0,0
TCP_ACK,0.004479171502875767,6.341195831047711,26,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.05279440318652086,1753092.6546782774,4,0.0,1
TCP_chksum,0.026169231584659978,44228.87586280198,18,0.0,1
TCP_urgptr,0.0,,80,0.0,0
TCP_options,0.002455294529112207,0.8207867897037484,44,0.0,0
UDP_len,0.021384623807048836,2180.395274372967,19,0.0,1
UDP_chksum,0.009394749406000021,303088.5795196882,21,0.0,0
DHCP_options,0.00043059605443576134,4.122077922077922,40,0.0,0
BOOTP_op,0.00017773184845849732,3.272566371681418,55,0.0,0
BOOTP_htype,0.0002323167301407682,5.4543689320388395,56,0.0,0
BOOTP_hlen,8.115892227633246e-05,32.72621359223301,53,0.0,0
BOOTP_hops,0.0,,71,0.0,0
BOOTP_xid,0.006259860060251484,20839077.590640873,25,0.0,0
BOOTP_secs,2.112012941990465e-05,3.0,63,0.0,0
BOOTP_flags,0.002434086256208486,0.8009423233143855,30,0.0,0
BOOTP_sname,0.0003082628509806942,5.4543689320388395,62,0.0,0
BOOTP_file,0.00033314637293694374,5.4543689320388395,47,0.0,0
BOOTP_options,0.00017088584011401472,5.4543689320388395,59,0.0,0
DNS_length,0.0,,70,0.0,0
DNS_id,0.008688586763851442,3968193.180689427,23,0.0,0
DNS_qr,0.00020660268572449003,68.79999999999998,52,0.0,0
DNS_opcode,0.0,,77,0.0,0
DNS_aa,0.0008110328833231417,71.19999999999999,51,0.0,0
DNS_tc,0.0,,83,0.0,0
DNS_rd,0.0010105908955599717,7.11260504201681,37,0.0,0
DNS_ra,0.0,,85,0.0,0
DNS_z,0.0,,87,0.0,0
DNS_ad,0.0,,76,0.0,0
DNS_cd,0.0,,67,0.0,0
DNS_rcode,0.0,,78,0.0,0
DNS_qdcount,0.0015178477689981225,70.12702702702703,41,0.0,0
DNS_ancount,0.0005908989143523687,365.19999999999993,60,0.0,0
DNS_nscount,8.811950115187984e-05,208.39999999999998,54,0.0,0
DNS_arcount,0.0,3.1999999999999997,79,0.0,0
sport_class,0.03622547529573956,246.42725739690326,8,0.0,1
dport_class,0.0304898405508466,81.5882211682776,17,0.0,1
sport_bare,0.1364520515703103,9593463.526758159,1,0.0,2
dport_bare,0.05771848131273353,5381950.260172959,6,0.0,1
TCP_sport,0.08755055932573143,6264948.483188165,2,0.0,1
TCP_dport,0.039763517752308145,4638973.324838339,12,0.0,1
UDP_sport,0.03170112650547422,3609145.16588119,13,0.0,1
UDP_dport,0.006342870638252928,780517.33427283,29,0.0,0
payload_bytes,0.04039855602252015,382902.2941489328,9,0.0,1
entropy,0.061347724195810104,675.248460796759,3,0.0,1
Protocol,0.02468347066792623,173.26894372811887,20,0.0,1
