,0
TCP_ack,9776208066.224699
TCP_seq,6168689770.186795
BOOTP_xid,4167815.5257242746
sport_bare,1918692.8138618618
TCP_sport,1252989.7751724413
dport_bare,1076390.1074183362
TCP_dport,927794.7095779879
DNS_id,793638.6418159906
UDP_sport,721829.0612250991
TCP_window,350618.5803455568
UDP_dport,156103.47634397048
ICMP_id,122219.60043520853
payload_bytes,76580.51061266437
IP_len,65267.354863558045
pck_size,64386.50838903278
UDP_chksum,60617.72089060747
IP_id,14793.14285092628
ICMP_chksum,12160.512382277118
TCP_chksum,8845.78538028373
Ether_type,3337.9130635139772
IP_ttl,2491.1258149615524
UDP_len,436.09999991791653
IP_tos,406.67281697383606
LLC_ctrl,175.0009262292894
entropy,135.09743842477576
DNS_ancount,73.04233874252499
sport_class,49.3238489907457
DNS_nscount,41.6802986909648
EAPOL_len,39.70007682749691
Protocol,34.67145846394925
dport_class,16.348696552279165
DNS_aa,14.243466749215816
DNS_qdcount,14.02721323401884
DNS_qr,13.761347074991937
ICMP_type,7.669495414217408
TCP_FIN,7.116466765797587
BOOTP_hlen,6.545436247443052
TCP_PSH,3.847539821417075
IP_proto,2.327420668277131
TCP_dataofs,1.9734721732154656
TCP_RST,1.9320104457194112
IP_options,1.8494850325079621
TCP_SYN,1.634487721119206
DNS_rd,1.4233151662959538
TCP_ACK,1.2742863831222737
EAPOL_type,1.1673348049896695
BOOTP_file,1.0910255453251276
BOOTP_sname,1.0910127224914867
BOOTP_options,1.0910000995863038
BOOTP_htype,1.0909945743868852
LLC_ssap,1.0016606288896261
DHCP_options,0.8266088284385216
BOOTP_op,0.6549151876852901
DNS_arcount,0.6399999999999999
BOOTP_secs,0.6013830120495415
TCP_flags,0.5384774469504905
ICMP_seq,0.3922527328791214
ICMP_code,0.32001105110413774
EAPOL_version,0.29551377024059283
IP_DF,0.17895390081318605
TCP_options,0.16550934862301597
BOOTP_flags,0.1620046493653626
IP_ihl,0.15402699721763474
IP_version,0.07734090193656747
IP_flags,0.026680359445767677
DNS_tc,0.0039078453560613124
DNS_rcode,0.0021052482727606514
ICMP_nexthopmtu,0.0017333086296897893
TCP_reserved,0.0015797933407322717
DNS_z,0.001505852990330514
DNS_ad,0.0011014551356178237
DNS_length,0.0008940380173074192
IP_MF,0.000886189120069103
ICMP_ts_tx,0.0002420416732637487
TCP_CWR,0.00020603523262935353
TCP_URG,0.0001187604521218355
DNS_cd,0.0
IP_frag,0.0
DNS_ra,0.0
DNS_opcode,0.0
ICMP_length,0.0
BOOTP_hops,0.0
IP_Z,0.0
TCP_urgptr,0.0
ICMP_ts_ori,0.0
ICMP_ts_rx,0.0
TCP_ECE,0.0
ICMP_ptr,0.0
LLC_dsap,0.0
ICMP_reserved,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
