,0
TCP_seq,14850914810.116611
TCP_ack,2588890919.847392
BOOTP_xid,1286924824.314837
TCP_window,2865439.204119098
DNS_id,1070451.031066148
dport_bare,990187.0691881037
ICMP_chksum,797797.0271987075
TCP_dport,787618.2338767092
UDP_sport,522830.6330888437
sport_bare,494402.6604283556
UDP_chksum,481711.0181465363
ICMP_id,357627.41980528017
UDP_dport,243176.5768063496
IP_id,217853.43826551177
TCP_sport,166219.26596897782
TCP_chksum,148327.90928977687
Ether_type,24162.638801085257
payload_bytes,18794.96952565373
IP_len,16098.56445675464
pck_size,15597.312670208214
UDP_len,4632.906616443359
IP_ttl,1634.3242922571449
IP_tos,346.52584618443996
ICMP_type,194.18434977747506
EAPOL_len,97.41965374524675
sport_class,73.06330288509068
DNS_ancount,70.68227255589349
LLC_ctrl,56.00294143378842
IP_proto,51.483885468141715
dport_class,46.37806147353885
TCP_SYN,42.67340086531482
DNS_nscount,39.72152360979021
Protocol,35.48213806315425
ICMP_seq,30.721061990917093
DNS_aa,14.562753933968633
DNS_qr,14.202285870439923
DNS_qdcount,14.087870244552912
BOOTP_hlen,8.755937195423224
TCP_dataofs,8.036728493893673
TCP_RST,6.231857179849059
TCP_FIN,5.81934799470887
TCP_options,5.480346681605406
DHCP_options,3.8060965155524387
entropy,3.490543229130978
TCP_PSH,2.9544870651485864
EAPOL_type,2.4535464549062524
TCP_ACK,2.259791319623904
IP_options,1.8258910146371883
BOOTP_op,1.8248767522816476
BOOTP_file,1.459694780585701
BOOTP_sname,1.459273402382703
BOOTP_options,1.459242491555566
BOOTP_htype,1.4592375559536412
IP_DF,1.4502893603883833
EAPOL_version,0.9147431741704934
IP_flags,0.7026305249953665
DNS_rd,0.6532503405021126
DNS_arcount,0.5599999999999998
LLC_ssap,0.32026690114230344
IP_version,0.3022089073192595
IP_ihl,0.2929839883472533
BOOTP_secs,0.2817022406481707
TCP_flags,0.2322633216638467
ICMP_code,0.08059034924572318
BOOTP_flags,0.040754740953488224
IP_Z,0.002371902896912248
ICMP_ts_tx,0.0019180358935543262
ICMP_length,0.0017341502192458336
DNS_ra,0.0016306964920990152
ICMP_reserved,0.001106388689339155
DNS_opcode,0.000580486863607399
ICMP_ts_rx,0.0005766524965746811
TCP_ECE,0.0005436099557808993
IP_frag,0.0003751923814545588
TCP_CWR,0.0002573851908945768
ICMP_nexthopmtu,0.00025571260303852705
DNS_tc,0.0001471335243397598
ICMP_ts_ori,0.00013821847712225388
BOOTP_hops,0.00013522777528540697
DNS_rcode,0.0
DNS_cd,0.0
DNS_ad,0.0
DNS_z,0.0
IP_MF,0.0
DNS_length,0.0
TCP_urgptr,0.0
ICMP_ptr,0.0
TCP_URG,0.0
LLC_dsap,0.0
TCP_reserved,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
