Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.015185398575187052,650.8680117195873,10,0.0,1
Ether_type,0.006286192214926387,703261.1852533375,23,0.0,0
LLC_dsap,0.0,,63,0.0,0
LLC_ssap,0.0009226824679934337,8.257142857142858,36,0.0,0
LLC_ctrl,0.0008032162300765326,1445.0000000000005,39,0.0,0
EAPOL_version,0.03344304135632404,351.00672268907573,8,0.0,1
EAPOL_type,0.0038758195466542605,397.93521126760567,32,0.0,0
EAPOL_len,0.004102177453483324,14706.523619909505,26,0.0,0
IP_version,0.0005779499189540135,9.94406463642007,48,0.0,0
IP_ihl,0.001940210938632352,13.611401660676629,44,0.0,0
IP_tos,0.0004525875264670216,1999.9999999999993,55,0.0,0
IP_len,0.01173399745447168,216.75550601729043,18,0.0,1
IP_flags,0.12597532664835598,164.70824617417148,1,0.0,2
IP_Z,0.0,,70,0.0,0
IP_MF,0.0,,60,0.0,0
IP_id,0.06459160299047911,12518176.74147856,5,0.0,1
IP_DF,0.16482508094811046,507.0,3,0.14788433627330583,2
IP_frag,0.0,,64,0.0,0
IP_ttl,0.10146419480962993,87007.70529442698,4,0.0,1
IP_proto,0.009842437681579401,238.25388006738572,31,0.0,0
IP_options,0.00039134117443288325,9.6,52,0.0,0
ICMP_type,9.368747435787724e-06,15.399999999999995,58,0.0,0
ICMP_code,0.0,0.19999999999999998,76,0.0,0
ICMP_chksum,4.157075929465534e-05,68188.39999999998,68,0.0,0
ICMP_id,0.0,44452.99999999999,74,0.0,0
ICMP_seq,3.4421965571475445e-05,1.8,82,0.0,0
ICMP_ts_ori,0.0,,84,0.0,0
ICMP_ts_rx,0.0,,73,0.0,0
ICMP_ts_tx,0.0,,77,0.0,0
ICMP_ptr,0.0,,78,0.0,0
ICMP_reserved,0.0,,65,0.0,0
ICMP_length,0.0,,81,0.0,0
ICMP_nexthopmtu,0.0,,87,0.0,0
TCP_seq,0.01898462993525584,119298786482.02878,12,0.0,2
TCP_ack,0.00368880161959948,12819390667.146002,40,0.0,1
TCP_dataofs,0.011295992707309452,78.30231333458718,25,0.0,1
TCP_reserved,0.0,,80,0.0,0
TCP_flags,0.007346880533563905,53.5290025665989,17,0.0,0
TCP_FIN,4.268658634611349e-06,0.009523809523809523,54,0.0,0
TCP_SYN,5.993764406751623e-05,6.849315068493149,59,0.0,0
TCP_RST,7.957876289552483e-05,9.2,53,0.0,0
TCP_PSH,0.0038851634927831898,146.65728643216084,30,0.0,0
TCP_ACK,0.0036478227101476553,8.452641334569066,47,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.033203829226765055,540.7767347619842,11,0.0,1
TCP_chksum,0.0033500943825452685,250640.85893448995,28,0.0,0
TCP_urgptr,0.0,,75,0.0,0
TCP_options,0.004896132358390095,7.384386932541375,22,0.0,0
UDP_len,0.012400094592074036,7168.645547434589,14,0.0,1
UDP_chksum,0.006499654799244894,1983566.137942285,27,0.0,0
DHCP_options,0.0018921019174528318,317.2313043478262,34,0.0,0
BOOTP_op,0.000729480082255565,68.87826086956524,42,0.0,0
BOOTP_htype,0.0015663748348989667,76.98620689655174,37,0.0,0
BOOTP_hlen,0.002198633461282704,461.9172413793103,38,0.0,0
BOOTP_hops,0.0,,79,0.0,0
BOOTP_xid,0.006797075205679042,308981624380.6962,24,0.0,1
BOOTP_secs,0.00030572113600593726,0.9999999999999998,50,0.0,0
BOOTP_flags,0.0011728742718663024,1.6648790440105061,29,0.0,0
BOOTP_sname,0.00107029293661298,76.98620689655174,46,0.0,0
BOOTP_file,0.0022608577721751405,76.98620689655174,41,0.0,0
BOOTP_options,0.0032327080321380517,76.98620689655174,35,0.0,0
DNS_length,0.0,,71,0.0,0
DNS_id,0.0005562389889453127,123108.19999999998,49,0.0,0
DNS_qr,0.00032802714489064033,35.19999999999999,57,0.0,0
DNS_opcode,0.0,,67,0.0,0
DNS_aa,0.0004991709885203304,35.599999999999994,56,0.0,0
DNS_tc,0.0,,66,0.0,0
DNS_rd,0.002158737446426041,1.9636363636363638,45,0.0,0
DNS_ra,0.0,,85,0.0,0
DNS_z,0.0,,69,0.0,0
DNS_ad,0.0,,83,0.0,0
DNS_cd,0.0,,72,0.0,0
DNS_rcode,0.0,,62,0.0,0
DNS_qdcount,0.00030182471383823436,49.60956937799041,43,0.0,0
DNS_ancount,0.0004949068151366668,183.0,51,0.0,0
DNS_nscount,4.796876907561182e-05,87.79999999999997,86,0.0,0
DNS_arcount,9.631256603389737e-07,2.1999999999999993,61,0.0,0
sport_class,0.019044703027760256,42.19689856222726,19,0.0,1
dport_class,0.029800879757378187,921.9136061119198,9,0.0,1
sport_bare,0.05120085863497084,6096405.423728405,6,0.0,1
dport_bare,0.03441033432023642,7454623.6846822975,13,0.0,1
TCP_sport,0.08767437262448274,11328368.319071364,2,0.0,1
TCP_dport,0.031074514987609225,6789492.721704076,21,0.0,1
UDP_sport,0.014921635827273981,1617794.9635909349,15,0.0,1
UDP_dport,0.01710661856713421,665131.2649528316,7,0.0,1
payload_bytes,0.013703361716171068,1471.6893848266259,20,0.0,1
entropy,0.015184248298779018,59.7093152559584,16,0.0,1
Protocol,0.004423013764007037,72.39793560314281,33,0.0,0
