,0
BOOTP_xid,61796324876.14409
TCP_seq,23859757296.475567
TCP_ack,2563878133.4854584
IP_id,2503635.4381414796
TCP_sport,2265673.7572113466
dport_bare,1490924.7811233234
TCP_dport,1357898.5817981672
sport_bare,1219281.179178993
UDP_chksum,396713.23679586145
UDP_sport,323559.00947973534
Ether_type,140652.24121228192
UDP_dport,133026.2684210727
TCP_chksum,50128.17403079329
DNS_id,24621.6413682853
IP_ttl,17401.637599970407
ICMP_chksum,13637.68009226536
ICMP_id,8890.599999999999
EAPOL_len,2941.3124066481496
UDP_len,1433.746342759841
IP_tos,400.00335079787385
payload_bytes,294.39296475371833
LLC_ctrl,289.0006006042435
dport_class,184.4286290851584
pck_size,130.23567132908246
TCP_window,108.2365004711963
IP_DF,101.51185980103858
BOOTP_hlen,92.38813551804965
EAPOL_type,79.5917290571566
EAPOL_version,70.21973035059705
DHCP_options,63.45121434001777
IP_proto,47.65955978500598
IP_len,43.41149911425403
DNS_ancount,36.60194896540082
IP_flags,33.048559833918304
TCP_PSH,29.3403616318683
DNS_nscount,17.5603613452518
TCP_dataofs,15.690022582425893
BOOTP_htype,15.401216147174608
BOOTP_file,15.401042298356211
BOOTP_sname,15.399637866314018
BOOTP_options,15.398636135452701
Protocol,14.490524514809328
BOOTP_op,13.777657128121865
entropy,11.983851944306831
TCP_flags,10.718104119398568
DNS_qdcount,9.922442630277537
sport_class,8.490083762558337
DNS_aa,7.122058726698453
DNS_qr,7.0428491228782395
ICMP_type,3.081974481453991
IP_ihl,2.7255949902179126
IP_version,1.991562357632596
IP_options,1.921586836297911
TCP_RST,1.8402229016577558
TCP_ACK,1.6942704417949237
LLC_ssap,1.6521646619559132
TCP_options,1.4807796708540724
TCP_SYN,1.3699550020040416
DNS_arcount,0.4400002793156575
DNS_rd,0.39488266818476625
ICMP_seq,0.3600068843931143
BOOTP_flags,0.33578478486571856
BOOTP_secs,0.20107833934887726
ICMP_code,0.039999999999999994
TCP_FIN,0.002138931867835646
BOOTP_hops,0.002090472914365593
DNS_ad,0.001853661962342712
DNS_opcode,0.0016693127979524047
IP_MF,0.0013508677466975705
ICMP_ts_rx,0.00114963059749007
ICMP_reserved,0.001086086642359374
TCP_reserved,0.001059608977437343
DNS_ra,0.0008239594121373095
ICMP_nexthopmtu,0.00039575046371759237
IP_frag,0.00029463995906303664
ICMP_length,0.0002542024065711468
DNS_cd,0.00018206904564288529
LLC_dsap,0.00011249978924221526
TCP_ECE,5.187890936553252e-05
TCP_urgptr,0.0
IP_Z,0.0
DNS_tc,0.0
TCP_URG,0.0
ICMP_ptr,0.0
ICMP_ts_tx,0.0
ICMP_ts_ori,0.0
DNS_rcode,0.0
DNS_length,0.0
DNS_z,0.0
TCP_CWR,0.0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
