Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.019737541247375555,52.528940952904435,12,0.0,1
Ether_type,0.008170120977688594,2071577.3931275224,23,0.0,0
LLC_dsap,0.0,,52,0.0,0
LLC_ssap,0.0013440279327390718,1.6000000000000005,37,0.0,0
LLC_ctrl,0.00046709878579242125,280.0,35,0.0,0
EAPOL_version,0.010806353474542936,125.65217391304351,13,0.0,0
EAPOL_type,0.005495992630711436,403.41818181818184,34,0.0,0
EAPOL_len,0.003407350512712953,14152.970550576185,25,0.0,0
IP_version,0.003135590373978535,36.66646248085754,32,0.0,0
IP_ihl,0.0064719957502606,38.579350136653446,28,0.0,0
IP_tos,0.006801834422651425,19585.575384615393,30,0.0,0
IP_len,0.032941286921660824,786.6562364351813,11,0.0,1
IP_flags,0.08052583093005644,52.80042372881351,5,0.0,1
IP_Z,0.0,,63,0.0,0
IP_MF,0.0,,44,0.0,0
IP_id,0.010707637533560164,1143541.1041999727,19,0.0,0
IP_DF,0.11753880648467899,106.6,4,0.14521575984990592,2
IP_frag,0.0,,53,0.0,0
IP_ttl,0.019498904465348778,3.689151993847755,22,0.0,1
IP_proto,0.01583333886826137,9.327802037845707,21,0.0,1
IP_options,0.0017743370404090482,33.02857142857143,36,0.0,0
ICMP_type,0.00030642388401205285,3.1999999999999997,49,0.0,0
ICMP_code,0.0,,66,0.0,0
ICMP_chksum,0.00011848113616852347,11334.199999999999,39,0.0,0
ICMP_id,0.0003958763244319648,1794.0,62,0.0,0
ICMP_seq,0.0,0.6,42,0.0,0
ICMP_ts_ori,0.0,,73,0.0,0
ICMP_ts_rx,0.0,,74,0.0,0
ICMP_ts_tx,0.0,,72,0.0,0
ICMP_ptr,0.0,,83,0.0,0
ICMP_reserved,0.0,,85,0.0,0
ICMP_length,0.0,,80,0.0,0
ICMP_nexthopmtu,0.0,,81,0.0,0
TCP_seq,0.0031327884474847134,169880625634.59995,41,0.0,1
TCP_ack,0.0,159755122846.2,78,0.0,1
TCP_dataofs,0.0066210536000460875,581.7999999999998,46,0.0,0
TCP_reserved,0.0,,79,0.0,0
TCP_flags,5.209458060523247e-06,170.41084037792137,51,0.0,0
TCP_FIN,0.0,6.6,54,0.0,0
TCP_SYN,0.0,12.799999999999999,56,0.0,0
TCP_RST,0.0,1.5999999999999999,58,0.0,0
TCP_PSH,0.0,19.999999999999993,64,0.0,0
TCP_ACK,0.0,72.79999999999998,86,0.0,0
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.010900989732631263,757984.8,67,0.0,0
TCP_chksum,0.003180114934705362,2695059.399999999,65,0.0,0
TCP_urgptr,0.0,,77,0.0,0
TCP_options,0.0030050492764835614,81.19999999999997,60,0.0,0
UDP_len,0.015097156473426375,19669.81184405991,17,0.0,1
UDP_chksum,0.011523716496481302,311290.7764086708,14,0.0,1
DHCP_options,0.01626688238895179,795.4380952380952,16,0.0,1
BOOTP_op,0.017449181283598715,434.4252427184468,26,0.0,1
BOOTP_htype,0.022376535131822875,275.96901408450714,20,0.0,1
BOOTP_hlen,0.022325084320367776,1655.8140845070423,27,0.0,1
BOOTP_hops,0.0,,47,0.0,0
BOOTP_xid,0.03791341413335319,837348392869.4629,8,0.0,2
BOOTP_secs,0.0,,55,0.0,0
BOOTP_flags,0.011860642077175269,25.153488372093026,15,0.0,1
BOOTP_sname,0.01456103603939286,275.96901408450714,29,0.0,1
BOOTP_file,0.018643948688580034,275.96901408450714,18,0.0,1
BOOTP_options,0.03400311380389329,275.96901408450714,33,0.0,1
DNS_length,0.0,,61,0.0,0
DNS_id,0.0,29857.2,48,0.0,0
DNS_qr,0.0005186336633272029,8.199999999999998,69,0.0,0
DNS_opcode,0.0,,50,0.0,0
DNS_aa,0.0002653177954571412,8.199999999999998,68,0.0,0
DNS_tc,0.0,,71,0.0,0
DNS_rd,0.0017149660055949814,5.4,45,0.0,0
DNS_ra,0.0,,82,0.0,0
DNS_z,0.0,,84,0.0,0
DNS_ad,0.0,,57,0.0,0
DNS_cd,0.0,,75,0.0,0
DNS_rcode,0.0,,70,0.0,0
DNS_qdcount,0.0,15.199999999999998,76,0.0,0
DNS_ancount,0.0,44.79999999999999,59,0.0,0
DNS_nscount,0.0,15.999999999999996,43,0.0,0
DNS_arcount,0.0,,87,0.0,0
sport_class,0.11018214763657545,612.3348200709579,2,0.0,1
dport_class,0.023445046256349706,471.57586005830905,7,0.0,1
sport_bare,0.07386897235823692,2613535.4419778357,1,0.0,2
dport_bare,0.0648164834637474,1698817.1233425778,6,0.0,1
TCP_sport,0.005040726711603743,1948784.7999999998,38,0.0,0
TCP_dport,0.0,1528887.9999999998,40,0.0,0
UDP_sport,0.013405473118321364,664780.2067273343,24,0.0,1
UDP_dport,0.011667341580350925,170062.46615990336,31,0.0,1
payload_bytes,0.012844866787445812,70.74488599348534,10,0.0,1
entropy,0.06303041743083106,3.3412003557891548,3,0.0,1
Protocol,0.024854861208661608,4.925390533924013,9,0.0,1
