Variable_Name,Votes
sport_bare,2
IP_DF,2
BOOTP_xid,2
pck_size,1
BOOTP_sname,1
UDP_len,1
UDP_chksum,1
DHCP_options,1
BOOTP_op,1
BOOTP_htype,1
BOOTP_hlen,1
BOOTP_flags,1
BOOTP_file,1
TCP_seq,1
BOOTP_options,1
sport_class,1
dport_class,1
dport_bare,1
UDP_sport,1
UDP_dport,1
payload_bytes,1
entropy,1
TCP_ack,1
Protocol,1
IP_flags,1
IP_len,1
IP_ttl,1
IP_proto,1
ICMP_id,0
DNS_aa,0
DNS_z,0
DNS_ra,0
DNS_rd,0
DNS_tc,0
DNS_id,0
DNS_opcode,0
DNS_qr,0
BOOTP_secs,0
DNS_length,0
IP_tos,0
DNS_ad,0
DNS_cd,0
DNS_rcode,0
DNS_qdcount,0
DNS_ancount,0
DNS_nscount,0
DNS_arcount,0
IP_ihl,0
IP_version,0
EAPOL_len,0
EAPOL_type,0
TCP_sport,0
TCP_dport,0
EAPOL_version,0
LLC_ctrl,0
LLC_ssap,0
LLC_dsap,0
IP_Z,0
IP_MF,0
ICMP_seq,0
TCP_SYN,0
ICMP_ts_ori,0
ICMP_ts_rx,0
ICMP_ts_tx,0
ICMP_ptr,0
ICMP_reserved,0
ICMP_length,0
ICMP_nexthopmtu,0
ICMP_chksum,0
ICMP_code,0
TCP_dataofs,0
TCP_reserved,0
TCP_flags,0
TCP_FIN,0
TCP_RST,0
BOOTP_hops,0
TCP_PSH,0
TCP_ACK,0
TCP_URG,0
TCP_ECE,0
Ether_type,0
TCP_window,0
TCP_chksum,0
TCP_urgptr,0
TCP_options,0
ICMP_type,0
IP_options,0
IP_frag,0
IP_id,0
TCP_CWR,0
