,precision,recall,f1-score,support
Amazon Echo,0.9882058901552778,1.0,0.9940519806993888,2000.0
August Doorbell Cam,0.8695309186745647,0.9579999999999999,0.9045874802263782,2000.0
Awair air quality monitor,0.9653044203502918,1.0,0.9818637502848031,2000.0
Belkin Camera,0.9980099502487562,1.0,0.999002493765586,2000.0
Belkin Wemo switch,0.9709010959152877,0.999,0.9847374283414329,2000.0
Belkin wemo motion sensor,0.9989637305699481,0.968,0.9832214894148864,2000.0
Blipcare Blood Pressure meter,1.0,1.0,1.0,29.0
Canary Camera,0.9534186630786363,0.8220000000000001,0.8685701285701286,2000.0
Dropcam,1.0,1.0,1.0,2000.0
Google Chromecast,0.7561489218328841,0.266,0.3685360225341009,2000.0
HP Printer,0.4828515448164571,0.9179999999999999,0.6317589459799666,2000.0
Hello Barbie,1.0,0.8857142857142858,0.9333333333333333,14.0
Insteon Camera,0.9950347273533323,1.0,0.9975087157727571,2000.0
Light Bulbs LiFX Smart Bulb,1.0,1.0,1.0,2000.0
NEST Protect smoke alarm,1.0,1.0,1.0,1479.0
Nest Dropcam,1.0,1.0,1.0,2000.0
Netatmo Welcome,1.0,1.0,1.0,2000.0
Netatmo weather station,1.0,1.0,1.0,2000.0
Non-IoT,0.8631159100970203,1.0,0.9263341194084557,13323.0
PIX-STAR Photo-frame,0.9975902739974597,0.8539999999999999,0.9198626050136601,2000.0
Phillip Hue Lightbulb,1.0,1.0,1.0,2000.0
Ring Door Bell,0.9982065719307653,1.0,0.9991016464831926,2000.0
Samsung SmartCam,1.0,0.7020000000000001,0.8242121672723576,2000.0
Smart Things,1.0,1.0,1.0,2000.0
TP-Link Day Night Cloud camera,1.0,1.0,1.0,2000.0
TP-Link Smart plug,1.0,1.0,1.0,2000.0
TPLink Router Bridge LAN,0.9901766647252961,1.0,0.9950445790847742,2000.0
Triby Speaker,1.0,1.0,1.0,2000.0
Withings Aura smart sleep sensor,0.2,0.097,0.13063973063973064,2000.0
Withings Smart Baby Monitor,1.0,1.0,1.0,2000.0
Withings Smart scale,1.0,1.0,1.0,1536.0
iHome,1.0,1.0,1.0,2000.0
unknown maybe cam,1.0,0.8529411764705882,0.9178981937602627,68.0
accuracy,0.9312467174835696,0.9312467174835696,0.9312467174835696,0.9312467174835696
macro avg,0.9402260389013932,0.9188683473389355,0.9200080245631878,70449.0
weighted avg,0.9220000286380292,0.9312467174835696,0.9173505875865876,70449.0
